Invoice Number	Distributor Billed SAP code	Distributor Shipped SAP code	Distribution Channel	Depo SAP code	SAP user code	Billing date	Material code	QTY	UOM	Basic Rate	Total Discount	GST%	GST Amt	Total Billed Amt	vehicalno	driver_name	driver_phoneno	Retail Margin	Dist. Margin	Damage/Leakage	Trade Discount	Alternative_UOM	UOM	Doc Type	Item category	Net Value	Tax Amount	Net Amount plus tax
7611005104	0002000058	0002000058	20	1601	DPSDMN	20180717	90500043_400	       120.000	BLK	       36263.79	             0.00	JOCG      6JOSG      6	          4351.66	         40615.45	MH-14/FT-7920							         10.000	BOX	ZDOR	TAN	         36263.79	          4351.66	         40615.45
7611005104	0002000058	0002000058	20	1601	DPSDMN	20180717	90500044_210	       240.000	BLK	       38076.98	             0.00	JOCG      6JOSG      6	          4569.24	         42646.22	MH-14/FT-7920							         10.000	BOX	ZDOR	TAN	         38076.98	          4569.24	         42646.22
7611005104	0002000058	0002000058	20	1601	DPSDMN	20180717	90500017_398	       120.000	BLK	       36082.47	             0.00	JOCG      6JOSG      6	          4329.90	         40412.37	MH-14/FT-7920							         10.000	BOX	ZDOR	TAN	         36082.47	          4329.90	         40412.37
7611005104	0002000058	0002000058	20	1601	DPSDMN	20180717	90500047_225	        64.000	BLK	       10879.13	             0.00	JOCG      6JOSG      6	          1305.50	         12184.63	MH-14/FT-7920							          2.000	BOX	ZDOR	TAN	         10879.13	          1305.50	         12184.63
7611005104	0002000058	0002000058	20	1601	DPSDMN	20180717	90500022_80	        96.000	PAC	        5802.21	             0.00	JOCG      6JOSG      6	           696.26	          6498.47	MH-14/FT-7920							          2.000	BOX	ZDOR	TAN	          5802.21	           696.26	          6498.47
7611005104	0002000058	0002000058	20	1601	DPSDMN	20180717	90500021_125	       200.000	BLK	       18887.39	             0.00	JOCG      6JOSG      6	          2266.48	         21153.87	MH-14/FT-7920							          5.000	BOX	ZDOR	TAN	         18887.39	          2266.48	         21153.87
7611005104	0002000058	0002000058	20	1601	DPSDMN	20180717	90500080_240	        24.000	BLK	        4351.65	             0.00	JOCG      6JOSG      6	           522.20	          4873.85	MH-14/FT-7920							          1.000	BOX	ZDOR	TAN	          4351.65	           522.20	          4873.85
7611005104	0002000058	0002000058	20	1601	DPSDMN	20180717	90500030_72	       360.000	PAC	       19582.45	             0.00	JOCG      6JOSG      6	          2349.90	         21932.35	MH-14/FT-7920							          5.000	BOX	ZDOR	TAN	         19582.45	          2349.90	         21932.35
7611005104	0002000058	0002000058	20	1601	DPSDMN	20180717	90500027_310	       220.000	PAC	        51524.8	             0.00	JOCG      6JOSG      6	          6182.98	         57707.78	MH-14/FT-7920							         11.000	BOX	ZDOR	TAN	         51524.80	          6182.98	         57707.78
7611005104	0002000058	0002000058	20	1601	DPSDMN	20180717	90500027_310	        80.000	PAC	       18736.29	             0.00	JOCG      6JOSG      6	          2248.36	         20984.65	MH-14/FT-7920							          4.000	BOX	ZDOR	TAN	         18736.29	          2248.36	         20984.65
7611005104	0002000058	0002000058	20	1601	DPSDMN	20180717	90500026_365	       300.000	PAC	       82726.78	             0.00	JOCG      6JOSG      6	          9927.22	         92654.00	MH-14/FT-7920							         25.000	BOX	ZDOR	TAN	         82726.78	          9927.22	         92654.00
7611005104	0002000058	0002000058	20	1601	DPSDMN	20180717	90500059_79	       192.000	CUP	       11459.36	             0.00	JOCG      6JOSG      6	          1375.12	         12834.48	MH-14/FT-7920							          8.000	BOX	ZDOR	TAN	         11459.36	          1375.12	         12834.48
7611005104	0002000058	0002000058	20	1601	DPSDMN	20180717	90500062_79	        48.000	CUP	        2864.84	             0.00	JOCG      6JOSG      6	           343.78	          3208.62	MH-14/FT-7920							          2.000	BOX	ZDOR	TAN	          2864.84	           343.78	          3208.62
